Condition,Model,ReceivedDate,SerialNumber,StockStatus,SupplierName,Note.0,updated_at,oldModelName,newModelName
USEB,GLC-SX-MM#JV#X03#P3176,1444669200,AGA1343142T,0,39,WH by PAT,2019-08-06T00:13:13.000Z,GLC-SX-MM#JV#X03#P3176,GLC-SX-MM
USEB,WS-C3750G-24T-S#JV,1444669200,CAT1024ZM05,0,39,WH by PAT,2019-08-06T00:13:13.000Z,WS-C3750G-24T-S#JV,WS-C3750G-24T-S
USEB,WS-C3750G-24T-S#JV,1444669200,CAT1015N0VS,0,39,WH by PAT,2019-08-06T00:13:13.000Z,WS-C3750G-24T-S#JV,WS-C3750G-24T-S
USEB,WS-X45-SUP6-E#JV#P3069,1444755600,JAE12067R71,0,39,WH by MT,2019-08-06T00:13:14.000Z,WS-X45-SUP6-E#JV#P3069,WS-X45-SUP6-E
USEA,EHWIC-1GE-SFP-CU#JV,1444842000,FOC19175Z6Y,0,39,"Wh by Trung, Newable",2019-08-06T00:13:14.000Z,EHWIC-1GE-SFP-CU#JV,EHWIC-1GE-SFP-CU
USEB,WS-C2970G-24TS-E#JV,1444842000,CAT0935N1VY,0,39,"Wh by Trung; shipped JV, sold to curvature",2019-08-06T00:13:14.000Z,WS-C2970G-24TS-E#JV,WS-C2970G-24TS-E
USEB,WS-C3750G-12S-E#JV#P3176,1444842000,FDO1441X1R5,0,39,Wh by Trung,2019-08-06T00:13:14.000Z,WS-C3750G-12S-E#JV#P3176,WS-C3750G-12S-E
USEB,EHWIC-4ESG#JV,1444842000,FOC17322ZLM,0,39,wh by Giang,2019-08-06T00:13:14.000Z,EHWIC-4ESG#JV,EHWIC-4ESG
USEB,CISCO2951/K9#JV#PALLET,1444842000,FGL173410T6,1,39,wh by Giang,2019-08-06T00:13:14.000Z,CISCO2951/K9#JV#PALLET,CISCO2951/K9
USEB,WS-C2960-24PC-L#JV#PACK3325,1444842000,FCQ1616X4BG,0,39,"WH by Long,",2019-08-06T00:13:14.000Z,WS-C2960-24PC-L#JV#PACK3325,WS-C2960-24PC-L
USEB,WS-C3750G-48TS-S#JV,1444842000,FOC1002Z5Z2,0,39,"WH by Long,",2019-08-06T00:13:14.000Z,WS-C3750G-48TS-S#JV,WS-C3750G-48TS-S
USEB,WS-C3750G-48TS-S#JV,1444842000,FOC1014Y1M3,0,39,"WH by Long,",2019-08-06T00:13:14.000Z,WS-C3750G-48TS-S#JV,WS-C3750G-48TS-S
USEB,CISCO1941-SEC/K9#JV#RMA,1444842000,FGL152521D3,0,39,"wh by Giang
Return from Curvature
Reason: CUTS AND GOUGES ON BEZEL",2019-08-06T01:58:48.000Z,CISCO1941-SEC/K9#JV#RMA,CISCO1941-SEC/K9
USEB,WS-C2960S-48LPS-L#JV#P3226,1444842000,FOC1551W4LX,0,39,WH by PAT,2019-08-06T00:13:14.000Z,WS-C2960S-48LPS-L#JV#P3226,WS-C2960S-48LPS-L
USEB,GLC-SX-MM#JV#X03#P3176,1444928400,FNS13340EB9,0,39,WH by MT,2019-08-06T00:13:15.000Z,GLC-SX-MM#JV#X03#P3176,GLC-SX-MM
USEB,GLC-SX-MM#JV#X03#P3176,1444928400,FNS13340DX5,0,39,WH by MT,2019-08-06T00:13:15.000Z,GLC-SX-MM#JV#X03#P3176,GLC-SX-MM
USEB,GLC-SX-MM#JV#X03#P3176,1444928400,FNS13340EBL,0,39,WH by MT,2019-08-06T00:13:15.000Z,GLC-SX-MM#JV#X03#P3176,GLC-SX-MM
USEB,GLC-SX-MM#JV#X03#P3176,1444928400,FNS13340E8S,0,39,WH by MT,2019-08-06T00:13:15.000Z,GLC-SX-MM#JV#X03#P3176,GLC-SX-MM
USEB,GLC-SX-MM#JV#X03#P3176,1444928400,FNS142000W5,0,39,WH by MT,2019-08-06T00:13:15.000Z,GLC-SX-MM#JV#X03#P3176,GLC-SX-MM
USEB,GLC-SX-MM#JV#X03#P3176,1444928400,FNS13340DW7,0,39,WH by MT,2019-08-06T00:13:15.000Z,GLC-SX-MM#JV#X03#P3176,GLC-SX-MM
USEB,GLC-SX-MM#JV#X03#P3176,1444928400,FNS13340EBH,0,39,WH by MT,2019-08-06T00:13:15.000Z,GLC-SX-MM#JV#X03#P3176,GLC-SX-MM
USEB,GLC-SX-MM#JV#X03#P3176,1444928400,FNS13340E1C,0,39,WH by MT,2019-08-06T00:13:15.000Z,GLC-SX-MM#JV#X03#P3176,GLC-SX-MM
USEB,GLC-SX-MM#JV#X03#P3176,1444928400,FNS13340CWW,0,39,WH by MT,2019-08-06T00:13:15.000Z,GLC-SX-MM#JV#X03#P3176,GLC-SX-MM
USEB,SFP-10G-SR#JV#X02,1445187600,FNS14180UXC,0,39,Wh by Trung,2019-08-06T00:13:20.000Z,SFP-10G-SR#JV#X02,SFP-10G-SR
USEB,SFP-10G-SR#JV#X02,1445187600,ECL142001MJ,0,39,Wh by Trung,2019-08-06T00:13:20.000Z,SFP-10G-SR#JV#X02,SFP-10G-SR
USEB,SFP-10G-SR#JV#X02,1445187600,ECL14200274,0,39,Wh by Trung,2019-08-06T00:13:20.000Z,SFP-10G-SR#JV#X02,SFP-10G-SR
USEB,SFP-10G-SR#JV#X02,1445187600,ECL14200270,0,39,Wh by Trung,2019-08-06T00:13:20.000Z,SFP-10G-SR#JV#X02,SFP-10G-SR
USEB,SFP-10G-SR#JV#X02,1445187600,ECL142001MC,0,39,Wh by Trung,2019-08-06T00:13:20.000Z,SFP-10G-SR#JV#X02,SFP-10G-SR
USEB,SFP-10G-SR#JV#X02#PACK3693#NGL,1445187600,FNS141912FZ,0,39,Wh by Trung,2019-08-06T00:13:20.000Z,SFP-10G-SR#JV#X02#PACK3693#NGL,SFP-10G-SR
USEB,SFP-10G-SR#JV#X02,1445187600,FNS14171CF9,0,39,Wh by Trung,2019-08-06T00:13:20.000Z,SFP-10G-SR#JV#X02,SFP-10G-SR
USEB,SFP-10G-SR#JV#X02,1445187600,ECL142002L6,0,39,Wh by Trung,2019-08-06T00:13:20.000Z,SFP-10G-SR#JV#X02,SFP-10G-SR
USEB,SFP-10G-SR#JV#X02,1445187600,ECL142003B8,0,39,Wh by Trung,2019-08-06T00:13:20.000Z,SFP-10G-SR#JV#X02,SFP-10G-SR
USEB,SFP-10G-SR#JV#X02,1445187600,FNS14180Q1T,0,39,Wh by Trung,2019-08-06T00:13:20.000Z,SFP-10G-SR#JV#X02,SFP-10G-SR
USEB,SFP-10G-SR#JV#X02,1445187600,SPC1419034M,0,39,Wh by Trung,2019-08-06T00:13:20.000Z,SFP-10G-SR#JV#X02,SFP-10G-SR
